name,tags,time,host,unit,value
DP,,1601007481698000000,11007,pascals,-1.2000000476837158
DP,,1601007482203000000,11007,pascals,4.099999904632568
DP,,1601020284052000000,11007,pascals,9.5
DP,,1601020284556000000,11005,pascals,10.300000190734863
DP,,1601020286576000000,11007,pascals,14.600000381469727
DP,,1601020298526000000,11009,pascals,10.90000057220459
DP,,1601020301535000000,11009,pascals,16.200000762939453
DP,,1601020308362000000,11005,pascals,15.600000381469727
DP,,1601020316493000000,11009,pascals,21.5
DP,,1601020318516000000,11009,pascals,26.80000114440918
DP,,1601020335474000000,11007,pascals,20
DP,,1601020346105000000,11005,pascals,20.899999618530273
DP,,1601020363969000000,11009,pascals,32.10000228881836
DP,,1601020390101000000,11007,pascals,25.30000114440918
DP,,1601020409493000000,11009,pascals,37.400001525878906
DP,,1601020426975000000,11005,pascals,26.100000381469727
DP,,1601020458636000000,11007,pascals,30.600000381469727
DP,,1601020464456000000,11009,pascals,42.70000076293945
DP,,1601020508119000000,11005,pascals,31.399999618530273
DP,,1601020530607000000,11007,pascals,35.900001525878906
DP,,1601020538031000000,11009,pascals,47.900001525878906
DP,,1601020600665000000,11007,pascals,41.20000076293945
DP,,1601020614017000000,11009,pascals,53.20000076293945
DP,,1601020619041000000,11005,pascals,36.70000076293945
DP,,1601020727178000000,11005,pascals,42
DP,,1601020733033000000,11005,pascals,36.70000076293945
DP,,1601020772477000000,11005,pascals,42
DP,,1601020773989000000,11007,pascals,46.5
DP,,1601020815998000000,11009,pascals,58.5
DP,,1601020818007000000,11005,pascals,36.70000076293945
DP,,1601020823135000000,11005,pascals,42
DP,,1601020976785000000,11005,pascals,47.29999923706055
DP,,1601020980319000000,11007,pascals,51.60000228881836
DP,,1601020984075000000,11005,pascals,42
DP,,1601020985580000000,11007,pascals,45.400001525878906
DP,,1601020990181000000,11007,pascals,50.70000076293945
DP,,1601020994797000000,11007,pascals,45.400001525878906
DP,,1601021452915000000,11005,pascals,47.29999923706055
DP,,1601021464772000000,11005,pascals,42
DP,,1601021619305000000,11005,pascals,47.29999923706055
DP,,1601021623425000000,11005,pascals,42
DP,,1601021651520000000,11005,pascals,47.29999923706055
DP,,1601021660949000000,11005,pascals,42
DP,,1601021778927000000,11005,pascals,47.29999923706055
DP,,1601021785082000000,11005,pascals,42
DP,,1601021793916000000,11005,pascals,47.29999923706055
DP,,1601021801045000000,11005,pascals,42
DP,,1601021872548000000,11005,pascals,47.29999923706055
DP,,1601021878589000000,11005,pascals,42
DP,,1601021890371000000,11005,pascals,47.29999923706055
DP,,1601021948536000000,11005,pascals,42
DP,,1601021957925000000,11005,pascals,47.29999923706055
DP,,1601022026017000000,11005,pascals,42
DP,,1601022042587000000,11005,pascals,47.29999923706055
DP,,1601022067089000000,11005,pascals,42
DP,,1601022071700000000,11005,pascals,47.29999923706055
DP,,1601022087929000000,11005,pascals,42
