name,tags,time,host,unit,value
Fl1,,1600762860373,3471282,cubicMetersPerHour,7.150000095367432
Fl1,,1600762860374,3471282,cubicMetersPerHour,7.150000095367432
Fl1,,1600762959270,3471282,cubicMetersPerHour,7.78000020980835
Fl1,,1600763058588,3471282,cubicMetersPerHour,8.319999694824219
Fl1,,1600763157138,3471282,cubicMetersPerHour,9.84000015258789
Fl1,,1600763157139,3471282,cubicMetersPerHour,9.84000015258789
Fl1,,1600763650325,3471282,cubicMetersPerHour,9.489999771118164
Fl1,,1600763650326,3471282,cubicMetersPerHour,9.489999771118164
Fl1,,1600764046381,3471282,cubicMetersPerHour,10.029999732971191
Fl1,,1600764145069,3471282,cubicMetersPerHour,10.5600004196167
Fl1,,1600764145070,3471282,cubicMetersPerHour,10.5600004196167
Fl1,,1600764243697,3471282,cubicMetersPerHour,11.770000457763672
Fl1,,1600764243699,3471282,cubicMetersPerHour,11.770000457763672
Fl1,,1600764342635,3471282,cubicMetersPerHour,12.25
Fl1,,1600764441953,3471282,cubicMetersPerHour,12.520000457763672
Fl1,,1600764441954,3471282,cubicMetersPerHour,12.520000457763672
Fl1,,1600764540036,3471282,cubicMetersPerHour,12.239999771118164
Fl1,,1600764540046,3471282,cubicMetersPerHour,12.239999771118164
Fl1,,1600764638004,3471282,cubicMetersPerHour,12.6899995803833
Fl1,,1600764736786000000,3471282,cubicMetersPerHour,13
Fl1,,1600764933759000000,3471282,cubicMetersPerHour,13.8100004196167
Fl1,,1600765032628000000,3471282,cubicMetersPerHour,14.3100004196167
Fl1,,1600765229519000000,3471282,cubicMetersPerHour,14.850000381469727
Fl1,,1600765427524000000,3471282,cubicMetersPerHour,14.600000381469727
Fl1,,1600765525822000000,3471282,cubicMetersPerHour,15.119999885559082
Fl1,,1600765525823000000,3471282,cubicMetersPerHour,15.119999885559082
Fl1,,1600765624836000000,3471282,cubicMetersPerHour,15.40999984741211
Fl1,,1600765723793000000,3471282,cubicMetersPerHour,15.75
Fl1,,1600765821737000000,3471282,cubicMetersPerHour,16.219999313354492
Fl1,,1600765821738000000,3471282,cubicMetersPerHour,16.219999313354492
Fl1,,1600765920957000000,3471282,cubicMetersPerHour,18.34000015258789
Fl1,,1600766019749000000,3471282,cubicMetersPerHour,18.670000076293945
Fl1,,1600766019750000000,3471282,cubicMetersPerHour,18.670000076293945
Fl1,,1600766117941000000,3471282,cubicMetersPerHour,19.3700008392334
Fl1,,1600766117952000000,3471282,cubicMetersPerHour,19.3700008392334
Fl1,,1600766216732000000,3471282,cubicMetersPerHour,21.239999771118164
Fl1,,1600766216733000000,3471282,cubicMetersPerHour,21.239999771118164
Fl1,,1600766315106000000,3471282,cubicMetersPerHour,21.8700008392334
Fl1,,1600766315107000000,3471282,cubicMetersPerHour,21.8700008392334
Fl1,,1600766414339000000,3471282,cubicMetersPerHour,23.229999542236328
Fl1,,1600766512469000000,3471282,cubicMetersPerHour,24.420000076293945
Fl1,,1600766512470000000,3471282,cubicMetersPerHour,24.420000076293945
Fl1,,1600766611686000000,3471282,cubicMetersPerHour,27.110000610351562
Fl1,,1600766611697000000,3471282,cubicMetersPerHour,27.110000610351562
Fl1,,1600766710026000000,3471282,cubicMetersPerHour,28.889999389648438
Fl1,,1600766710138000000,3471282,cubicMetersPerHour,28.889999389648438
Fl1,,1600766807987000000,3471282,cubicMetersPerHour,32.52000045776367
Fl1,,1600766807989000000,3471282,cubicMetersPerHour,32.52000045776367
Fl1,,1600766907554000000,3471282,cubicMetersPerHour,37.349998474121094
Fl1,,1600766907555000000,3471282,cubicMetersPerHour,37.349998474121094
Fl1,,1600767005598000000,3471282,cubicMetersPerHour,46.61000061035156
Fl1,,1600767104644000000,3471282,cubicMetersPerHour,54.4900016784668
Fl1,,1600767104645000000,3471282,cubicMetersPerHour,54.4900016784668
Fl1,,1600767202997000000,3471282,cubicMetersPerHour,60.41999816894531
Fl1,,1600767302239000000,3471282,cubicMetersPerHour,64.30999755859375
Fl1,,1600767400632000000,3471282,cubicMetersPerHour,67.48999786376953
Fl1,,1600767498930000000,3471282,cubicMetersPerHour,70.05999755859375
Fl1,,1600767696698000000,3471282,cubicMetersPerHour,72.5
Fl1,,1600767696699000000,3471282,cubicMetersPerHour,72.5
Fl1,,1600767893877000000,3471282,cubicMetersPerHour,71.95999908447266
Fl1,,1600767992762000000,3471282,cubicMetersPerHour,74.36000061035156
Fl1,,1600768091171000000,3471282,cubicMetersPerHour,74.83999633789062
Fl1,,1600768091190000000,3471282,cubicMetersPerHour,74.83999633789062
Fl1,,1600768189727000000,3471282,cubicMetersPerHour,72.8499984741211
Fl1,,1600768189829000000,3471282,cubicMetersPerHour,72.8499984741211
Fl1,,1600768288216000000,3471282,cubicMetersPerHour,74.62000274658203
Fl1,,1600768387785000000,3471282,cubicMetersPerHour,75.11000061035156
Fl1,,1600768387786000000,3471282,cubicMetersPerHour,75.11000061035156
Fl1,,1600768584521000000,3471282,cubicMetersPerHour,75.73999786376953
Fl1,,1600768584622000000,3471282,cubicMetersPerHour,75.73999786376953
Fl1,,1600768682962000000,3471282,cubicMetersPerHour,74.62000274658203
Fl1,,1600768781586000000,3471282,cubicMetersPerHour,75.19999694824219
Fl1,,1600768880636000000,3471282,cubicMetersPerHour,74.83999633789062
Fl1,,1600768998882000000,3471259,cubicMetersPerHour,0.8119999766349792
Fl1,,1600769005402000000,3471282,cubicMetersPerHour,74.20999908447266
Fl1,,1600769106916000000,3471282,cubicMetersPerHour,74.97000122070312
Fl1,,1600769106917000000,3471282,cubicMetersPerHour,74.97000122070312
Fl1,,1600769205699000000,3471282,cubicMetersPerHour,75.69999694824219
Fl1,,1600769205710000000,3471282,cubicMetersPerHour,75.69999694824219
Fl1,,1600769304238000000,3471282,cubicMetersPerHour,75.16000366210938
Fl1,,1600769304239000000,3471282,cubicMetersPerHour,75.16000366210938
Fl1,,1600769403580000000,3471282,cubicMetersPerHour,77.48999786376953
